"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09"
"IMF.STA:ER(4.0.1)","RWA.USD_XDC.EOP_RT.M","OBS_VALUE","Rwanda","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","7.230724169563658E-4","7.173849185927592E-4","7.115304219972732E-4","7.067365278457157E-4","7.057309739793666E-4","7.04326339117585E-4","6.97827727461522E-4","6.939546353596805E-4","",""
"IMF.STA:ER(4.0.1)","ZMB.USD_XDC.EOP_RT.M","OBS_VALUE","Zambia","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.03585881870805793","0.03566197541870984","0.03502758422257524","0.0355654913118585","0.035807916107168","0.03752294930381534","0.04215343851619904","0.043559427504667","",""
"IMF.STA:ER(4.0.1)","CMR.USD_XDC.EOP_RT.M","OBS_VALUE","Cameroon","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","GNB.USD_XDC.EOP_RT.M","OBS_VALUE","Guinea-Bissau","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","PYF.USD_XDC.EOP_RT.M","OBS_VALUE","French Polynesia","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.00870598508191872","0.008709337083105327","0.008724421088445069","0.00906297320829252","0.009530577373824392","0.009502085363738222","0.00982136347676267","0.009591751395479993","0.009769407458370237",""
"IMF.STA:ER(4.0.1)","TGO.USD_XDC.EOP_RT.M","OBS_VALUE","Togo","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","NCL.USD_XDC.EOP_RT.M","OBS_VALUE","New Caledonia","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.00870598508191872","0.008709337083105327","0.008724421088445069","0.00906297320829252","0.009530577373824392","0.009502085363738222","0.00982136347676267","0.009591751395479993","0.009769407458370237",""
"IMF.STA:ER(4.0.1)","GNQ.USD_XDC.EOP_RT.M","OBS_VALUE","Equatorial Guinea, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","CAF.USD_XDC.EOP_RT.M","OBS_VALUE","Central African Republic","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","MLI.USD_XDC.EOP_RT.M","OBS_VALUE","Mali","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","0.001583792840079456","0.001584402636148406","0.001587146718458679","0.001648736121422593","0.001733802673041068","0.001728619406454996","0.00178670248202245","0.001744931451299399","0.00177725064295373",""
"IMF.STA:ER(4.0.1)","AND.USD_XDC.EOP_RT.M","OBS_VALUE","Andorra, Principality of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","1.0389","1.0393","1.0411","1.0815","1.1373","1.1339","1.172","1.1446","1.1658",""
